id,fecha_reg,producto,marca,modelo,calidad,color,stock,precio_usd,precio,descuento1,descuento2,precio_usd_modulo_bat,precio_modulo_bat,fecha_actualizacion
4,25/11/2023,,samsung,j7 2016,oled,,,0,0,,,,,
5,25/11/2023,,samsung,j7 2016 sin logo,incell qx,,,16,16800,,,,,
6,25/11/2023,,samsung,j7 2016 ,incell ttc,,,19,19950,,,,,
7,25/11/2023,,samsung,j7 2016 sin logo,oled 2,,,124,13020,,,,,
128,25/11/2023,,motorola,g3,original,,,,0,,,,,
129,25/11/2023,,motorola,g4 ,original,,,9,9450,,,,,
130,25/11/2023,,motorola,g4 play c/m,original,,,16,16800,,,,,
131,25/11/2023,,motorola,g4 plus,original,,,9,9450,,,,,
178,25/11/2023,,iphone,6g,oem,,,13,13650,,,,,
179,25/11/2023,,iphone,6 plus,oem,,,12,12600,,,,,
180,25/11/2023,,iphone,6s,oem,,,14,14700,,,,,
181,25/11/2023,,iphone,6s plus,oem,,,16,16800,,,,,
182,25/11/2023,,iphone,7g,oem,,,15,15750,,,,,
183,25/11/2023,,iphone,7 plus,oem,,,17,17850,,,,,
350,25/11/2023,,huawei,k9 ,original,,,0,0,,,,,
351,25/11/2023,,huawei,k12,original,,,16,16800,,,,,
352,25/11/2023,,huawei,k10 c/m,original,,,8,8400,,,,,
353,25/11/2023,,huawei,k11,original,,,154,16170,,,,,
354,25/11/2023,,huawei,k22 plus,original ,,,164,17220,,,,,
355,25/11/2023,,huawei,k22,original,,,164,17220,,,,,
356,25/11/2023,,huawei,k40,original,,,16,16800,,,,,
606,01/01/2023,,lg,k22 plus,original,negro,,140,147000,,,,,
607,01/01/2023,,lg,k40,original,negro,,300,315000,,,,,
608,01/01/2023,,lg,k40s,original,negro,,150,157500,,,,,
609,01/01/2023,,lg,k41s,original,negro,sin stock,00,00,,,,,
610,01/01/2023,,lg,k42,original,negro,sin stock,00,00,,,,,
611,01/01/2023,,lg,k50,original,negro,sin stock,00,00,,,,,
612,01/01/2023,,lg,k50s,original,negro,sin stock,00,00,,,,,
633,01/01/2023,,xiaomi,redmi 9a / 9c / 9i / 10a / poco c3,original,negro,sin stock,00,00,,,,,
634,01/01/2023,,xiaomi,redmi 10 / 10 prime 2022,original,negro,,200,210000,,,,,
635,01/01/2023,,xiaomi,redmi 10c / 10 power / poco c40,original,negro,,150,157500,,,,,
636,01/01/2023,,xiaomi,mi9t / mi9t pro / k20 pro,oled,negro,sin stock,00,00,,,,,
637,01/01/2023,,xiaomi,mi note 10 / note 10 lite,original curvo,negro,,250,262500,,,,,
638,01/01/2023,,xiaomi,mi10t lite 5g / note 9 pro 5g / poco x3,oled,negro,,210,220500,,,,,
